Model,Target,MSE,RMSE,MAE,R2,Explained Variance
XGBoost,rms_1_10khz_rating,0.004512694028154176,0.06621918332243497,0.049282763029399414,0.3277425054208263,0.4607828835646487
XGBoost,rotor_balance_status_rating,4.949178475736261,2.209319903302793,1.77344083587468,0.07917087335458957,0.16491490486159516
XGBoost,rubbing_condition_rating,0.3680577715148658,0.5789422313945239,0.46050169542100744,-0.8225785090787374,-0.008047413876106057
XGBoost,velocity_rms_rating,3.1365844449915588,1.7196795589032292,1.302373092205204,0.3493494669184337,0.40610814120149386
XGBoost,peak_value_opt_rating,0.37258875642662576,0.6028518985405265,0.4667770992524445,-0.06794881660275905,0.027551505121167597
SVR,alignment_status_rating,9.636090711567084,3.0940276326711746,2.5523827966021355,0.14191098000600721,0.23676014764553419
SVR,bearing_lubrication_rating,0.06281642781189577,0.2502852016205958,0.20068844938598204,0.10944291851933281,0.18091994180937115
SVR,crest_factor_rating,0.8970558258615862,0.9047932348538504,0.7560983224343233,-1.6188858854477701,0.0391880907400002
SVR,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
SVR,fit_condition_rating,3.2177475372932394,1.7690661266500516,1.2528747115663768,0.3601586148791541,0.4271173352152065
SVR,kurtosis_opt_rating,0.8430459169300549,0.9137996921416655,0.7433504185921767,-2.4046041505451887,-0.025553069548815043
SVR,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
SVR,rms_1_10khz_rating,0.006700013189013315,0.07952516536731057,0.06298501682719379,0.07152559079639516,0.25177816760999844
SVR,rotor_balance_status_rating,5.0671798861689314,2.241056673567803,1.8211073951803374,0.04921181636178107,0.12034971192168001
SVR,rubbing_condition_rating,0.4335719698829309,0.6331111722277953,0.5022175672604782,-1.3731533225875285,-0.02375831803704802
SVR,velocity_rms_rating,3.077445161780699,1.748011928250045,1.3166969621776776,0.3351362076304508,0.3443168771261972
SVR,peak_value_opt_rating,0.37193172119491097,0.6026991019808878,0.46170043337542416,-0.07672268321886455,0.05657373609447136
RuleTree,alignment_status_rating,12.2470539020423,3.487889016663474,3.000190498717112,-0.08655556762381822,0.02766912349721342
RuleTree,bearing_lubrication_rating,0.07256089298787556,0.26885348004249043,0.21906821341087301,-0.025824935762648125,0.013864941395770703
RuleTree,crest_factor_rating,0.9541560236086459,0.911714572644032,0.7321655603863769,-1.2647067066569018,-0.3354650703242129
RuleTree,electromagnetic_status_rating,0.0,0.0,0.0,1.0,1.0
RuleTree,fit_condition_rating,5.489798127647381,2.2855415976161915,1.571717912150293,-0.0411474101937044,0.12469693814941307
RuleTree,kurtosis_opt_rating,0.7523730316959308,0.8599949917203966,0.6456949658505444,-2.2413437309399082,-0.8039390991951632
RuleTree,rms_10_25khz_rating,0.0,0.0,0.0,1.0,1.0
RuleTree,rms_1_10khz_rating,0.007006771276323073,0.08230562119903732,0.06414714662003516,-0.07639292710321784,0.15820923783867638
RuleTree,rotor_balance_status_rating,5.661115171753071,2.378168994763837,1.9454620806237017,-0.06967106577403101,-0.022792777126557494
RuleTree,rubbing_condition_rating,0.443113677058861,0.6319413192419742,0.533459529213479,-1.3981667993661062,-0.03792630812050672
RuleTree,velocity_rms_rating,4.195233777151451,2.0433742293603308,1.5727375699025323,0.09151125883139233,0.1109776606085144
RuleTree,peak_value_opt_rating,0.3944556326759471,0.6194900227658122,0.47474154833494475,-0.12987260527322636,0.020815152617151566
