Model,Target,MSE,RMSE,MAE,R2,Explained Variance
PolyRidgeDegree2,alignment_status,129.09846998946165,7.717373360931894,6.672975877941894,-30.44752302264785,-6.96006906633688
PolyRidgeDegree2,bearing_lubrication,0.9071083584274845,0.7576100196702664,0.6661592878950795,-44.75763607093416,-12.705658429114198
PolyRidgeDegree2,crest_factor,10.22601833599693,2.249586219812653,2.000633339228441,-65.9218545732331,-11.793486340253246
PolyRidgeDegree2,electromagnetic_status,0.0,0.0,0.0,1.0,1.0
PolyRidgeDegree2,fit_condition,63.40519197236928,5.134717073908009,4.5534627844920745,-36.3816277194902,-5.9149454842346705
PolyRidgeDegree2,kurtosis_opt,4.2276017031815245,1.5360562174976409,1.3524897592252663,-18.57830585219814,-3.379347330205545
PolyRidgeDegree2,peak_value_opt,2.758879561142991,1.153597346755562,1.0302710865838394,-25.755397174044553,-5.074946033199209
PolyRidgeDegree2,rms_10_25khz,0.0,0.0,0.0,1.0,1.0
PolyRidgeDegree2,rms_1_10khz,0.14343801669087633,0.25819968878962707,0.21949875736274,-21.201785136061975,-6.8120943803248295
PolyRidgeDegree2,rotor_balance_status,27.577968327500848,5.085765511535394,4.561106199510833,-18.873466860690023,-3.7443901011001017
PolyRidgeDegree2,rubbing_condition,0.9815919810739835,0.9382887185111398,0.7987009010758668,-4.271783466544911,-0.5664283356262749
PolyRidgeDegree2,velocity_rms,89.70107938916618,7.203726181307182,6.332473912519125,-53.88268041714882,-12.13552653604865
PolyRidgeDegree5,alignment_status,103762.55433793642,189.09738213696906,120.25295903898787,-21840.169964384473,-13246.416509533912
PolyRidgeDegree5,bearing_lubrication,941.1266789005915,18.382712395885225,11.940265692965118,-15380.724529677236,-7808.377875935192
PolyRidgeDegree5,crest_factor,4992.163215421512,43.47611181637654,27.75989223604561,-12439.090491999961,-7112.238424865452
PolyRidgeDegree5,electromagnetic_status,0.0,0.0,0.0,1.0,1.0
PolyRidgeDegree5,fit_condition,72146.8994120521,156.54650992643894,100.33759301161638,-42328.442615847,-21111.519091261707
PolyRidgeDegree5,kurtosis_opt,2580.493549518057,29.606427906101942,18.928224472719016,-11168.086083350867,-7110.267139054425
PolyRidgeDegree5,peak_value_opt,1035.2469968226274,21.164263763082374,13.56655157566152,-5303.677866064045,-2915.2067694502466
PolyRidgeDegree5,rms_10_25khz,0.0,0.0,0.0,1.0,1.0
PolyRidgeDegree5,rms_1_10khz,191.11256686981542,7.641407046295083,4.87912590793737,-27621.65872868413,-16107.987714939485
PolyRidgeDegree5,rotor_balance_status,46395.47901121733,130.05196949447222,84.81862978149482,-33060.17352710918,-20766.54023502917
PolyRidgeDegree5,rubbing_condition,194.80181290955156,11.391224250650248,7.960584563707568,-1562.8273569809435,-979.2579254591435
PolyRidgeDegree5,velocity_rms,104496.30216280528,183.70790183709445,118.07361188285851,-54926.16537008462,-34647.42547347523
RandomForest,alignment_status,11.497298487395433,3.0363592165277438,2.4512797118848355,-1.684745681269898,-8.881784197001253e-17
RandomForest,bearing_lubrication,0.21556065287135578,0.38867606549174055,0.3341340456182037,-2.8134045933220992,-0.048300593511804754
RandomForest,crest_factor,0.7835002400958551,0.7260444040679033,0.6213997599038759,-2.2557794732483027,1.2323475573339238e-14
RandomForest,electromagnetic_status,0.0,0.0,0.0,1.0,1.0
RandomForest,fit_condition,3.978360648259586,1.5360979190039221,1.2078775510205062,-1.6457480553436103,-1.5765166949677222e-15
RandomForest,kurtosis_opt,0.6902516446581339,0.7792997944334294,0.6406698679473809,-2.982963190455171,-4.907185768843192e-15
RandomForest,peak_value_opt,0.3422596398560218,0.47948094248167,0.3924321728692191,-1.4176265991830483,4.1966430330830914e-15
RandomForest,rms_10_25khz,0.0,0.0,0.0,1.0,1.0
RandomForest,rms_1_10khz,0.02111978391358905,0.12439397017626101,0.09821128451386038,-2.7223919408243282,2.1382895454280514e-14
RandomForest,rotor_balance_status,6.585187106842634,2.3867881107228253,1.9720216086434603,-2.4299365182692325,-3.68594044175552e-15
RandomForest,rubbing_condition,0.513385834333548,0.685596945076945,0.5052725090035531,-1.155236057728612,7.549516567451064e-16
RandomForest,velocity_rms,10.542558199278847,2.9248153435154527,2.3249051620647716,-2.0898404156113943,2.2204460492503132e-17
